id_producto,nombre,marca,tipo_mascota,edad_recomendada,tamano,categoria,subcategoria,nivel_precio,precio,descripcion
174,Bebedero Automatico,Marca Especializada,Conejo,Senior,Pequeño,Accesorios,Especializado,Medio,44.54,Bebedero Automatico recomendado para conejo senior.
175,Protector Almohadillas,Marca Especializada,Perro,Cachorro,Mediano,Accesorios,Especializado,Medio,44.75,Protector Almohadillas recomendado para perro cachorro.
176,Cepillo Pelo Largo,Marca Especializada,Gato,Adulto,Pequeño,Accesorios,Especializado,Medio,44.96,Cepillo Pelo Largo recomendado para gato adulto.
177,Grava Decorativa Acuario,Marca Especializada,Pez,Senior,Pequeño,Accesorios,Especializado,Medio,45.17,Grava Decorativa Acuario recomendado para pez senior.
178,Baño Para Ave,Marca Especializada,Ave,Cachorro,Pequeño,Accesorios,Especializado,Medio,45.38,Baño Para Ave recomendado para ave cachorro.
179,Casa Madera,Marca Especializada,Hamster,Adulto,Pequeño,Accesorios,Especializado,Medio,45.59,Casa Madera recomendado para hamster adulto.
180,Corta Uñas Conejo,Marca Especializada,Conejo,Senior,Pequeño,Accesorios,Especializado,Medio,45.8,Corta Uñas Conejo recomendado para conejo senior.
181,Snacks Dentales,Marca Especializada,Perro,Cachorro,Mediano,Accesorios,Especializado,Medio,46.01,Snacks Dentales recomendado para perro cachorro.
182,Rascador Torre,Marca Especializada,Gato,Adulto,Pequeño,Accesorios,Especializado,Medio,46.22,Rascador Torre recomendado para gato adulto.
183,Red Captura Peces,Marca Especializada,Pez,Senior,Pequeño,Accesorios,Especializado,Medio,46.43,Red Captura Peces recomendado para pez senior.
184,Campana Natural,Marca Especializada,Ave,Cachorro,Pequeño,Accesorios,Especializado,Medio,46.64,Campana Natural recomendado para ave cachorro.
185,Tubo Conexion Jaula,Marca Especializada,Hamster,Adulto,Pequeño,Accesorios,Especializado,Medio,46.85,Tubo Conexion Jaula recomendado para hamster adulto.
186,Bebedero Automatico,Marca Especializada,Conejo,Senior,Pequeño,Accesorios,Especializado,Medio,47.06,Bebedero Automatico recomendado para conejo senior.
187,Protector Almohadillas,Marca Especializada,Perro,Cachorro,Mediano,Accesorios,Especializado,Medio,47.27,Protector Almohadillas recomendado para perro cachorro.
188,Cepillo Pelo Largo,Marca Especializada,Gato,Adulto,Pequeño,Accesorios,Especializado,Medio,47.48,Cepillo Pelo Largo recomendado para gato adulto.
189,Grava Decorativa Acuario,Marca Especializada,Pez,Senior,Pequeño,Accesorios,Especializado,Medio,47.69,Grava Decorativa Acuario recomendado para pez senior.
190,Baño Para Ave,Marca Especializada,Ave,Cachorro,Pequeño,Accesorios,Especializado,Medio,47.9,Baño Para Ave recomendado para ave cachorro.
191,Casa Madera,Marca Especializada,Hamster,Adulto,Pequeño,Accesorios,Especializado,Medio,48.11,Casa Madera recomendado para hamster adulto.
192,Corta Uñas Conejo,Marca Especializada,Conejo,Senior,Pequeño,Accesorios,Especializado,Medio,48.32,Corta Uñas Conejo recomendado para conejo senior.
193,Snacks Dentales,Marca Especializada,Perro,Cachorro,Mediano,Accesorios,Especializado,Medio,48.53,Snacks Dentales recomendado para perro cachorro.
194,Rascador Torre,Marca Especializada,Gato,Adulto,Pequeño,Accesorios,Especializado,Medio,48.74,Rascador Torre recomendado para gato adulto.
195,Red Captura Peces,Marca Especializada,Pez,Senior,Pequeño,Accesorios,Especializado,Medio,48.95,Red Captura Peces recomendado para pez senior.
196,Campana Natural,Marca Especializada,Ave,Cachorro,Pequeño,Accesorios,Especializado,Medio,49.16,Campana Natural recomendado para ave cachorro.
197,Tubo Conexion Jaula,Marca Especializada,Hamster,Adulto,Pequeño,Accesorios,Especializado,Medio,49.37,Tubo Conexion Jaula recomendado para hamster adulto.
198,Bebedero Automatico,Marca Especializada,Conejo,Senior,Pequeño,Accesorios,Especializado,Medio,49.58,Bebedero Automatico recomendado para conejo senior.
199,Protector Almohadillas,Marca Especializada,Perro,Cachorro,Mediano,Accesorios,Especializado,Medio,49.79,Protector Almohadillas recomendado para perro cachorro.
200,Cepillo Pelo Largo,Marca Especializada,Gato,Adulto,Pequeño,Accesorios,Especializado,Medio,50.0,Cepillo Pelo Largo recomendado para gato adulto.
201,Transportadora Ventilada Universal,Petly,Ave,Adulto,Pequeño,Accesorios,Uso general,Medio,28.9,Transportadora ventilada segura para aves de cualquier etapa.
202,Kit Enriquecimiento Natural,Petly,Conejo,Adulto,Pequeño,Juguetes,Uso general,Medio,22.5,Kit de enriquecimiento y exploración para conejos de cualquier etapa.
203,Set de Túneles Modulares,Petly,Hamster,Adulto,Pequeño,Juguetes,Uso general,Medio,19.9,Set modular para actividad y enriquecimiento de hámsteres de cualquier etapa.
204,Dispensador Portátil de Agua,Petly,Perro,Todas las edades,Mediano,Accesorios,Uso general,Medio,12.9,Dispensador portátil para paseos apto para perros de cualquier etapa.
205,Tazón Cerámico Antivuelco,Petly,Conejo,Todas las edades,Pequeño,Accesorios,Uso general,Medio,10.9,Tazón estable y lavable para conejos de cualquier etapa.
